Titik	Latitude	Longitude	Keterangan	Waktu1	Waktu2	Waktu3	F1	F2	F3
MG47	446450.29	365223.68	MG47	2023-11-23 11:30:00	2023-11-23 11:30:00	2023-11-23 11:30:00	42050.55	42050.55	42050.55
MG48	446450.29	365223.68	MG48	2023-11-23 11:31:00	2023-11-23 11:31:00	2023-11-23 11:31:00	42050.76	42050.76	42050.76
MG49	446447.18	365235.95	MG49	2023-11-23 11:48:00	2023-11-23 11:48:00	2023-11-23 11:48:00	42359.29	42359.29	42359.29
MG50	446447.18	365235.95	MG50	2023-11-23 11:49:00	2023-11-23 11:49:00	2023-11-23 11:49:00	42359.46	42359.46	42359.46
MG51	446450.31	365257.39	MG51	2023-11-23 11:55:00	2023-11-23 11:55:00	2023-11-23 11:55:00	41947.41	41947.41	41947.41
MG52	446450.31	365257.39	MG52	2023-11-23 11:56:00	2023-11-23 11:56:00	2023-11-23 11:56:00	41947.69	41947.69	41947.69
MG53	446450.31	365275.85	MG53	2023-11-23 12:01:00	2023-11-23 12:01:00	2023-11-23 12:01:00	41978.29	41978.29	41978.29
MG54	446450.31	365275.85	MG54	2023-11-23 12:02:00	2023-11-23 12:02:00	2023-11-23 12:02:00	41978.77	41978.77	41978.77
MG55	446450.32	365294.31	MG55	2023-11-23 12:08:00	2023-11-23 12:08:00	2023-11-23 12:08:00	42118.87	42118.87	42118.87
MG56	446450.32	365294.31	MG56	2023-11-23 12:09:00	2023-11-23 12:09:00	2023-11-23 12:09:00	42119.25	42119.25	42119.25
MG57	446450.33	365306.58	MG57	2023-11-23 12:13:00	2023-11-23 12:13:00	2023-11-23 12:13:00	42200.81	42200.81	42200.81
MG58	446447.23	365328.03	MG58	2023-11-23 12:23:00	2023-11-23 12:23:00	2023-11-23 12:23:00	41909.55	41909.55	41909.55
MG59	446447.23	365328.03	MG59	2023-11-23 12:24:00	2023-11-23 12:24:00	2023-11-23 12:24:00	41908.72	41908.72	41908.72
MG60	446444.24	365340.30	MG60	2023-11-23 12:28:00	2023-11-23 12:28:00	2023-11-23 12:28:00	42021.09	42021.09	42021.09
